,PubChem_pattern,SMARTS,images
66,C(~Br)(~H),[#6](~[#35])(~[#1]),../data/pubchemfp_pattern_images/66.png
68,C(~Br)(:N),[#6](~[#35])(:[#7]),../data/pubchemfp_pattern_images/68.png
72,C(~C)(~C)(~C)(~H),[#6](~[#6])(~[#6])(~[#6])(~[#1]),../data/pubchemfp_pattern_images/72.png
73,C(~C)(~C)(~C)(~N),[#6](~[#6])(~[#6])(~[#6])(~[#7]),../data/pubchemfp_pattern_images/73.png
74,C(~C)(~C)(~C)(~O),[#6](~[#6])(~[#6])(~[#6])(~[#8]),../data/pubchemfp_pattern_images/74.png
75,C(~C)(~C)(~H)(~N),[#6](~[#6])(~[#6])(~[#1])(~[#7]),../data/pubchemfp_pattern_images/75.png
76,C(~C)(~C)(~H)(~O),[#6](~[#6])(~[#6])(~[#1])(~[#8]),../data/pubchemfp_pattern_images/76.png
80,C(~C)(~Cl)(~H),[#6](~[#6])(~[#17])(~[#1]),../data/pubchemfp_pattern_images/80.png
84,C(~C)(~H)(~O)(~O),[#6](~[#6])(~[#1])(~[#8])(~[#8]),../data/pubchemfp_pattern_images/84.png
85,C(~C)(~H)(~P),[#6](~[#6])(~[#1])(~P),../data/pubchemfp_pattern_images/85.png
86,C(~C)(~H)(~S),[#6](~[#6])(~[#1])(~S),../data/pubchemfp_pattern_images/86.png
87,C(~C)(~I),[#6](~[#6])(~I),../data/pubchemfp_pattern_images/87.png
91,C(~C)(~Si),[#6](~[#6])(~[#14]),../data/pubchemfp_pattern_images/91.png
97,C(~Cl)(~Cl),[#6](~[#17])(~[#17]),../data/pubchemfp_pattern_images/97.png
98,C(~Cl)(~H),[#6](~[#17])(~[#1]),../data/pubchemfp_pattern_images/98.png
100,C(~F)(~F),[#6](~F)(~F),../data/pubchemfp_pattern_images/100.png
101,C(~F)(:C),[#6](~F)(:[#6]),../data/pubchemfp_pattern_images/101.png
104,C(~H)(~O)(~O),[#6](~[#1])(~[#8])(~[#8]),../data/pubchemfp_pattern_images/104.png
105,C(~H)(~S),[#6](~[#1])(~S),../data/pubchemfp_pattern_images/105.png
106,C(~H)(~Si),[#6](~[#1])(~[#14]),../data/pubchemfp_pattern_images/106.png
108,C(~H)(:C)(:C),[#6](~[#1])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/108.png
109,C(~H)(:C)(:N),[#6](~[#1])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/109.png
111,C(~H)(~H)(~H),[#6](~[#1])(~[#1])(~[#1]),../data/pubchemfp_pattern_images/111.png
122,C(:C)(:C)(:C),[#6](:[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/122.png
123,C(:C)(:C)(:N),[#6](:[#6])(:[#6])(:[#7]),../data/pubchemfp_pattern_images/123.png
125,C(:C)(:N)(:N),[#6](:[#6])(:[#7])(:[#7]),../data/pubchemfp_pattern_images/125.png
131,N(~C)(~H)(~N),[#7](~[#6])(~[#1])(~[#7]),../data/pubchemfp_pattern_images/131.png
137,N(~H)(:C)(:C),[#7](~[#1])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/137.png
139,N(~O)(:O),[#7](~[#8])(:[#8]),../data/pubchemfp_pattern_images/139.png
141,N(:C)(:C)(:C),[#7](:[#6])(:[#6])(:[#6]),../data/pubchemfp_pattern_images/141.png
144,O(~C)(~P),[#8](~[#6])(~P),../data/pubchemfp_pattern_images/144.png
145,O(~H)(~S),[#8](~[#1])(~S),../data/pubchemfp_pattern_images/145.png
147,P(~C)(~C),P(~[#6])(~[#6]),../data/pubchemfp_pattern_images/147.png
152,Si(~C)(~C),[#14](~[#6])(~[#6]),../data/pubchemfp_pattern_images/152.png
165,C(#C)(-H),"[#6](#[#6])(-,:[#1])",../data/pubchemfp_pattern_images/165.png
168,C(-C)(-C)(=N),"[#6](-,:[#6])(-,:[#6])(=,:[#7])",../data/pubchemfp_pattern_images/168.png
170,C(-C)(-Cl)(=O),"[#6](-,:[#6])(-,:[#17])(=,:[#8])",../data/pubchemfp_pattern_images/170.png
171,C(-C)(-H)(=C),"[#6](-,:[#6])(-,:[#1])(=,:[#6])",../data/pubchemfp_pattern_images/171.png
172,C(-C)(-H)(=N),"[#6](-,:[#6])(-,:[#1])(=,:[#7])",../data/pubchemfp_pattern_images/172.png
173,C(-C)(-H)(=O),"[#6](-,:[#6])(-,:[#1])(=,:[#8])",../data/pubchemfp_pattern_images/173.png
175,C(-C)(-N)(=N),"[#6](-,:[#6])(-,:[#7])(=,:[#7])",../data/pubchemfp_pattern_images/175.png
176,C(-C)(-N)(=O),"[#6](-,:[#6])(-,:[#7])(=,:[#8])",../data/pubchemfp_pattern_images/176.png
177,C(-C)(-O)(=O),"[#6](-,:[#6])(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/177.png
181,C(-Cl)(=O),"[#6](-,:[#17])(=,:[#8])",../data/pubchemfp_pattern_images/181.png
182,C(-H)(-N)(=C),"[#6](-,:[#1])(-,:[#7])(=,:[#6])",../data/pubchemfp_pattern_images/182.png
185,C(-H)(=O),"[#6](-,:[#1])(=,:[#8])",../data/pubchemfp_pattern_images/185.png
192,N(-O)(=O),"[#7](-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/192.png
193,P(-O)(=O),"P(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/193.png
195,S(-O)(=O),"S(-,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/195.png
196,S(=O)(=O),"S(=,:[#8])(=,:[#8])",../data/pubchemfp_pattern_images/196.png
197,C-C-C#C,"[#6]-,:[#6]-,:[#6]#[#6]",../data/pubchemfp_pattern_images/197.png
200,N:C-S-[#1],"[#7]:[#6]-,:S-,:[#1]",../data/pubchemfp_pattern_images/200.png
202,O=S-C-C,"[#8]=,:S-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/202.png
203,N#C-C=C,"[#7]#[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/203.png
205,O=S-C-N,"[#8]=,:S-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/205.png
206,S-S-C:C,"S-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/206.png
208,S:C:C:C,S:[#6]:[#6]:[#6],../data/pubchemfp_pattern_images/208.png
210,S-C:N:C,"S-,:[#6]:[#7]:[#6]",../data/pubchemfp_pattern_images/210.png
211,S:C:C:N,S:[#6]:[#6]:[#7],../data/pubchemfp_pattern_images/211.png
212,S-C=N-C,"S-,:[#6]=,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/212.png
215,S-C=N-[#1],"S-,:[#6]=,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/215.png
216,S-C-S-C,"S-,:[#6]-,:S-,:[#6]",../data/pubchemfp_pattern_images/216.png
217,C:S:C-C,"[#6]:S:[#6]-,:[#6]",../data/pubchemfp_pattern_images/217.png
218,O-S-C:C,"[#8]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/218.png
219,C:N-C:C,"[#6]:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/219.png
220,N-S-C:C,"[#7]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/220.png
222,N:C:C:N,[#7]:[#6]:[#6]:[#7],../data/pubchemfp_pattern_images/222.png
223,N-C:N:N,"[#7]-,:[#6]:[#7]:[#7]",../data/pubchemfp_pattern_images/223.png
225,N-C=N-[#1],"[#7]-,:[#6]=,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/225.png
226,N-C-S-C,"[#7]-,:[#6]-,:S-,:[#6]",../data/pubchemfp_pattern_images/226.png
228,C-N:C-[#1],"[#6]-,:[#7]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/228.png
229,N-C:O:C,"[#7]-,:[#6]:[#8]:[#6]",../data/pubchemfp_pattern_images/229.png
231,O=C-C:N,"[#8]=,:[#6]-,:[#6]:[#7]",../data/pubchemfp_pattern_images/231.png
233,N:N-C-[#1],"[#7]:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/233.png
234,O-C:C:N,"[#8]-,:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/234.png
236,N-C:C:N,"[#7]-,:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/236.png
237,C-S-C:C,"[#6]-,:S-,:[#6]:[#6]",../data/pubchemfp_pattern_images/237.png
240,Cl-C:C-[#1],"[#17]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/240.png
243,C-C:N:C,"[#6]-,:[#6]:[#7]:[#6]",../data/pubchemfp_pattern_images/243.png
245,S=C-N-C,"S=,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/245.png
247,[#1]-N-N-[#1],"[#1]-,:[#7]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/247.png
248,S=C-N-[#1],"S=,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/248.png
249,C-[As]-O-[#1],"[#6]-,:[#33]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/249.png
250,S:C:C-[#1],"S:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/250.png
251,O-N-C-C,"[#8]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/251.png
253,[#1]-C=C-[#1],"[#1]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/253.png
255,O=C-N-N,"[#8]=,:[#6]-,:[#7]-,:[#7]",../data/pubchemfp_pattern_images/255.png
258,C:N-C-[#1],"[#6]:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/258.png
259,C-N-N-[#1],"[#6]-,:[#7]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/259.png
262,[As]-C:C-[#1],"[#33]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/262.png
264,C:C:N-[#1],"[#6]:[#6]:[#7]-,:[#1]",../data/pubchemfp_pattern_images/264.png
265,[#1]-N-C-[#1],"[#1]-,:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/265.png
269,S-C:C-[#1],"S-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/269.png
276,N=C-C-[#1],"[#7]=,:[#6]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/276.png
279,O-C:C-[#1],"[#8]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/279.png
283,N-C:C-[#1],"[#7]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/283.png
294,N:C-O-[#1],"[#7]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/294.png
296,O-C-N-[#1],"[#8]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/296.png
298,Cl-C-C=O,"[#17]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/298.png
299,Br-C-C=O,"[#35]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/299.png
308,[#1]-C-O-[#1],"[#1]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/308.png
309,N:C:N:C,[#7]:[#6]:[#7]:[#6],../data/pubchemfp_pattern_images/309.png
313,N=C-C:C-[#1],"[#7]=,:[#6]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/313.png
314,C:C-N-C:C,"[#6]:[#6]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/314.png
320,Cl-C:C-O-C,"[#17]-,:[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/320.png
323,C-S-C-C-C,"[#6]-,:S-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/323.png
324,N-C:C-O-[#1],"[#7]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/324.png
325,O=C-C-C=O,"[#8]=,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/325.png
327,C-C:C-O-[#1],"[#6]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/327.png
333,N=C-N-C-C,"[#7]=,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/333.png
334,O=C-C-C:C,"[#8]=,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/334.png
336,[#1]-C-C=C-[#1],"[#1]-,:[#6]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/336.png
339,O=C-C-N-C,"[#8]=,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/339.png
341,C-O-C-C:C,"[#6]-,:[#8]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/341.png
342,O=C-C-O-C,"[#8]=,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/342.png
346,Cl-C-C-N-C,"[#17]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/346.png
347,C-O-C-O-C,"[#6]-,:[#8]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/347.png
348,N-C-C-N-C,"[#7]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/348.png
349,N-C-O-C-C,"[#7]-,:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/349.png
352,N-C-C-O-C,"[#7]-,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/352.png
353,C:C:N:N:C,[#6]:[#6]:[#7]:[#7]:[#6],../data/pubchemfp_pattern_images/353.png
354,C-C-C-O-[#1],"[#6]-,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/354.png
358,N-C:C:C:N,"[#7]-,:[#6]:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/358.png
359,O=C-O-C:C,"[#8]=,:[#6]-,:[#8]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/359.png
360,O=C-C:C-C,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/360.png
361,O=C-C:C-N,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/361.png
362,O=C-C:C-O,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/362.png
363,C-O-C:C-C,"[#6]-,:[#8]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/363.png
364,O=[As]-C:C:C,"[#8]=,:[#33]-,:[#6]:[#6]:[#6]",../data/pubchemfp_pattern_images/364.png
365,C-N-C-C:C,"[#6]-,:[#7]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/365.png
367,O-C:C-O-C,"[#8]-,:[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/367.png
368,O-C:C-O-[#1],"[#8]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/368.png
369,C-C-O-C:C,"[#6]-,:[#6]-,:[#8]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/369.png
372,N-N-C-N-[#1],"[#7]-,:[#7]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/372.png
373,C-N-C-N-C,"[#6]-,:[#7]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/373.png
379,O-C-C-C=O,"[#8]-,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/379.png
380,[#1]-C-C-N-[#1],"[#1]-,:[#6]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/380.png
381,C-C=N-N-C,"[#6]-,:[#6]=,:[#7]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/381.png
382,O=C-N-C-C,"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/382.png
383,O=C-N-C-[#1],"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/383.png
384,O=C-N-C-N,"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/384.png
385,O=N-C:C-N,"[#8]=,:[#7]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/385.png
386,O=N-C:C-O,"[#8]=,:[#7]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/386.png
387,O=C-N-C=O,"[#8]=,:[#6]-,:[#7]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/387.png
393,C-C-N-C-C,"[#6]-,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/393.png
394,C-N-C:C-C,"[#6]-,:[#7]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/394.png
395,C-C-S-C-C,"[#6]-,:[#6]-,:S-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/395.png
396,O-C-C-N-C,"[#8]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/396.png
398,O-C-O-C-C,"[#8]-,:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/398.png
399,O-C-C-O-C,"[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/399.png
400,O-C-C-O-[#1],"[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/400.png
403,C=C-C-O-C,"[#6]=,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/403.png
404,C=C-C-O-[#1],"[#6]=,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/404.png
406,Cl-C:C-C=O,"[#17]-,:[#6]:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/406.png
408,O=C-C=C-C,"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/408.png
409,O=C-C=C-[#1],"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/409.png
410,O=C-C=C-N,"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/410.png
411,N-C-N-C:C,"[#7]-,:[#6]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/411.png
413,N#C-C-C-C,"[#7]#[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/413.png
422,O=C-C-C-C-N,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/422.png
423,O=C-C-C-C-O,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/423.png
424,O=C-C-C-C=O,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/424.png
437,O-C-C-C-C-C-O-C,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/437.png
439,O-C-C-C-C-C-N-C,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/439.png
441,O=C-C-C-C-C-C-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/441.png
442,O=C-C-C-C-C(O)-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]([#8])-,:[#6]",../data/pubchemfp_pattern_images/442.png
443,O=C-C-C-C-C(=O)-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](=,:[#8])-,:[#6]",../data/pubchemfp_pattern_images/443.png
444,O=C-C-C-C-C(N)-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]([#7])-,:[#6]",../data/pubchemfp_pattern_images/444.png
448,C-C(C)(C)-C-C,"[#6]-,:[#6]([#6])([#6])-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/448.png
